,category,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30,sensor31,sensor32,sensor33,sensor34,sensor35,sensor36,sensor37,sensor38,sensor39,sensor40,sensor41,sensor42,sensor43,sensor44,sensor45,sensor46,sensor47,sensor48,sensor49,sensor50,sensor51,sensor52,sensor53,sensor54,sensor55,sensor56,sensor57,sensor58,sensor59,sensor60,sensor61,sensor62,sensor63,sensor64,sensor65,sensor66
41,coffee,18112.8,18113.9,40760.8,40702.2,40715.1,35236.3,35225.9,35226.9,20076.4,20076.3,20072.2,16275.0,16275.6,16272.9,20991.8,20986.7,27084.4,27059.6,8509.6,8506.9,8507.3,14170.0,14175.9,14181.4,27109.8,27117.2,27088.2,48506.8,48511.8,48521.5,19253.7,19254.6,41307.2,41303.3,40074.2,40007.6,40046.9,199145.9,198528.0,199119.2,103623.7,103509.2,103417.4,108489.4,108889.6,108809.9,119670.3,119276.8,1626687.0,1641035.4,54905.6,54842.8,54852.1,17152.3,17152.2,17152.0,1092.6,1092.5,1092.5,5409.6,5413.9,5415.9,28729.2,28721.5,26.900000,42.709999
42,coffee,18106.4,18102.7,40738.0,40788.3,40818.8,35193.1,35178.4,35177.5,20092.5,20091.3,20092.5,16303.0,16287.0,16298.8,20987.6,21007.6,27094.1,27072.0,8510.9,8509.2,8509.3,14201.2,14202.0,14209.8,27118.8,27127.8,27106.3,48526.1,48558.4,48555.2,19247.1,19246.9,41311.2,41264.3,40099.2,39995.2,40040.5,198806.6,198478.4,199112.6,103405.7,103671.5,103456.0,108826.8,108651.9,108799.9,119363.0,119333.1,1675912.8,1580690.0,54927.9,54894.7,54921.6,17154.9,17153.4,17148.5,1092.6,1092.5,1092.5,5418.5,5421.8,5423.8,28722.5,28740.6,26.920000,42.759998
43,coffee,18104.9,18115.2,40901.7,40883.8,40844.3,35348.4,35354.4,35367.8,20115.5,20110.3,20111.5,16364.9,16364.8,16368.4,20981.5,20993.1,27115.0,27064.8,8513.2,8514.0,8512.0,14226.8,14228.9,14230.6,27255.3,27227.7,27235.0,48738.8,48795.3,48773.2,19260.9,19259.5,41319.2,41380.3,40074.4,40079.2,40022.2,198369.2,200036.2,199630.2,103908.8,103321.3,103926.0,109254.6,109911.6,109295.7,119262.5,119379.8,1618286.0,1627131.6,55045.5,55034.5,55095.7,17158.6,17162.3,17166.3,1092.6,1092.5,1092.5,5424.7,5427.9,5430.9,28732.2,28756.5,26.920000,43.250000
44,coffee,18118.8,18113.2,41017.1,41045.5,41033.6,35393.1,35387.9,35384.2,20121.1,20120.2,20120.3,16400.9,16399.7,16399.0,20983.0,20984.8,27101.9,27078.8,8514.0,8514.4,8514.4,14248.7,14248.0,14250.8,27285.7,27279.3,27276.1,48803.5,48815.9,48784.6,19268.3,19267.9,41327.1,41320.7,40098.4,40106.9,40085.2,200366.2,198418.8,199891.8,103965.1,104091.5,103853.4,109166.3,109237.5,108979.3,119576.5,119536.9,1618725.8,1629581.2,55110.8,55134.1,55097.8,17175.0,17171.4,17167.2,1092.6,1092.6,1092.5,5431.7,5436.4,5438.8,28740.4,28770.4,26.910000,43.349998
45,coffee,18124.2,18126.3,41144.5,41160.0,41163.2,35492.8,35510.6,35517.7,20141.6,20145.1,20136.8,16466.3,16465.6,16461.9,20993.3,20999.3,27116.1,27059.1,8520.7,8519.0,8520.6,14270.4,14270.0,14274.9,27358.6,27367.2,27360.9,48965.4,48981.5,48959.1,19273.3,19277.1,41394.1,41328.3,40184.4,40172.7,40210.1,200900.6,200002.6,200985.4,104168.1,104242.9,104123.4,109561.4,109666.5,109621.0,119574.1,119524.9,1640583.1,1610188.6,55201.1,55276.4,55262.0,17175.3,17173.6,17177.9,1092.6,1092.5,1092.5,5440.1,5444.0,5447.3,28775.4,28762.6,26.940001,43.439999
46,coffee,18133.9,18134.4,41319.2,41349.0,41303.6,35758.9,35766.6,35747.5,20165.0,20160.1,20152.1,16531.9,16529.2,16529.1,20991.4,20984.4,27118.9,27092.4,8521.6,8523.0,8522.5,14284.3,14287.0,14286.5,27447.6,27450.4,27457.9,49034.0,49101.7,49072.7,19275.1,19276.3,41350.2,41330.0,40302.0,40272.4,40311.8,200589.1,201499.3,200332.5,104235.6,104100.6,104013.2,109532.2,109512.0,109559.4,119621.0,119707.7,1623139.1,1667930.8,55318.3,55308.5,55301.6,17183.4,17181.1,17175.8,1092.6,1092.5,1092.5,5448.0,5451.1,5454.2,28771.5,28781.6,26.920000,43.439999
47,coffee,18128.6,18123.5,41362.8,41387.0,41419.2,35579.2,35579.6,35579.0,20182.3,20191.4,20173.9,16547.2,16547.9,16548.8,20995.8,20989.0,27096.8,27067.3,8522.5,8523.5,8522.9,14314.1,14311.5,14314.1,27467.1,27467.8,27467.8,49107.2,49114.1,49110.0,19286.4,19284.4,41371.3,41335.1,40293.8,40300.3,40323.2,201005.8,201584.6,201646.0,104076.9,103998.7,103947.8,109311.8,109462.6,109557.4,119562.1,119480.5,1674498.6,1615431.6,55377.6,55385.6,55384.3,17188.6,17186.1,17188.5,1092.6,1092.5,1092.5,5455.7,5460.5,5462.6,28786.9,28804.9,26.920000,43.220001
48,coffee,18158.8,18147.1,41524.2,41492.7,41539.6,35705.1,35708.2,35690.6,20200.6,20195.3,20196.4,16610.4,16606.0,16608.0,20989.8,20990.2,27101.9,27083.7,8527.1,8527.2,8527.0,14325.4,14331.8,14334.9,27546.2,27538.9,27542.3,49272.3,49261.3,49291.9,19282.5,19281.3,41392.7,41372.5,40296.4,40449.3,40396.1,200423.6,201185.9,202476.2,104182.7,104211.0,104285.9,109355.0,109553.4,109668.5,119485.3,119478.1,1611496.2,1625354.9,55420.4,55463.9,55409.3,17194.4,17195.0,17193.4,1092.6,1092.5,1092.5,5463.8,5468.5,5470.8,28812.5,28809.0,26.950001,43.590000
49,coffee,18153.9,18147.8,41617.4,41619.5,41639.9,35746.8,35711.8,35762.2,20211.1,20219.1,20201.3,16658.0,16661.4,16673.0,20989.7,20997.3,27108.0,27074.0,8530.3,8529.6,8528.6,14346.7,14343.6,14349.0,27633.7,27632.9,27642.8,49450.3,49471.3,49532.5,19292.9,19296.2,41450.3,41410.0,40391.5,40435.1,40476.3,202207.9,200694.0,202256.0,104389.3,104298.7,104375.5,110015.3,110255.9,110116.1,119705.3,119274.5,1632261.8,1600449.4,55602.4,55593.8,55584.5,17201.9,17206.1,17203.0,1092.6,1092.6,1092.5,5472.6,5475.8,5478.4,28798.3,28807.5,26.940001,43.900002
50,coffee,18161.4,18165.5,41740.3,41753.2,41730.6,35923.8,35945.1,35934.6,20231.6,20227.1,20228.6,16731.3,16730.9,16730.5,20996.1,20998.1,27108.8,27074.6,8534.0,8532.5,8534.7,14350.6,14351.3,14349.5,27734.0,27744.3,27739.2,49591.8,49566.4,49625.4,19297.0,19294.6,41422.4,41430.8,40436.6,40354.5,40443.9,201577.8,201947.1,199603.5,104545.2,104447.0,104784.6,110417.6,110214.1,110598.3,119757.1,119675.2,1620047.4,1604763.5,55749.8,55662.3,55794.2,17204.7,17204.6,17198.4,1092.6,1092.5,1092.5,5477.7,5481.1,5485.1,28816.7,28833.1,26.950001,44.020000
